X,ID,Name,Age,Nationality,Overall,Potential,Club,Wage,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,BodyType,Position,JerseyNumber,Height,Weight,ST,CF,W,CAM,CM,OM,CDM,WB,CB,FB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
17523,244984,L.Pellegrini,18,France,54,71,ACAjaccio,1,Left,1,3,2,Normal,LB,33,73,170,42,43,45,43,43,46,49,52,54,53,39,29,45,34,31,51,38,31,35,51,65,63,56,53,66,31,65,64,65,29,55,55,37,39,38,38,50,59,56
17538,245515,J.Br’_ndle,18,Germany,53,70,1.FCHeidenheim1846,1,Left,1,2,2,Lean,LB,31,69,154,39,45,48,46,45,49,48,53,47,52,51,22,22,55,22,55,30,31,29,49,69,66,65,52,64,29,54,52,42,28,47,52,40,40,35,36,50,54,49
17545,241429,A.Crookes,20,England,53,63,LincolnCity,4,Left,1,2,2,Normal,LB,20,72,170,43,43,43,43,45,45,50,50,53,51,38,32,51,47,31,46,34,37,47,41,60,58,51,54,56,42,48,61,67,27,56,51,35,42,46,40,51,55,53
17586,244565,E.Erhahon,17,Scotland,53,74,St.Mirren,1,Left,1,3,2,Lean,LB,39,68,141,49,52,51,52,53,53,52,52,49,52,44,31,47,58,33,55,37,33,56,57,59,64,58,55,81,54,55,61,39,36,59,45,56,46,46,43,48,47,50
17589,242009,G.Comerford,24,RepublicofIreland,53,58,CorkCity,1,Left,1,3,2,Normal,LB,33,71,176,49,50,51,51,52,52,54,55,55,55,52,41,53,57,36,52,51,43,54,52,59,63,58,54,62,52,63,65,63,52,52,52,36,51,41,51,51,57,56
17630,224650,SunKai,27,ChinaPR,53,53,ShanghaiGreenlandShenhuaFC,2,Left,1,3,2,Normal,LB,14,71,170,34,33,34,34,39,38,49,50,52,52,46,18,41,45,29,23,42,29,43,33,57,59,40,44,66,39,71,70,57,20,52,50,22,34,35,42,53,59,58
17692,240585,B.Williams,19,Wales,53,71,Barnsley,1,Left,1,3,2,Normal,LB,28,70,165,42,44,46,43,43,46,47,51,51,51,46,27,45,40,31,50,32,28,29,45,69,55,51,52,67,22,57,55,56,30,50,56,51,40,36,37,49,52,54
17715,233190,D.Palacios,21,Colombia,53,63,JaguaresdeC’_rdoba,1,Left,1,2,2,Lean,LB,21,68,141,40,42,44,42,41,45,46,51,50,51,38,34,35,43,22,51,33,34,33,28,71,74,69,46,76,30,77,68,50,35,53,50,42,36,35,41,56,53,57
17721,246005,J.King,17,Australia,53,69,SydneyFC,1,Left,1,3,2,Lean,LB,25,70,150,42,45,48,45,45,49,49,52,50,52,52,27,39,51,28,54,26,30,44,38,73,71,58,43,69,29,62,56,49,29,52,54,53,38,31,41,55,56,45
17730,244479,A.Klimczak,20,Poland,53,58,ArkaGdynia,1,Left,1,3,2,Normal,LB,19,72,150,39,42,45,42,41,45,46,50,51,51,48,24,42,35,32,58,34,31,31,34,69,55,62,55,62,29,59,50,43,26,56,50,44,45,46,42,54,58,61
17749,241687,P.Kirk,20,RepublicofIreland,52,60,BohemianFC,1,Left,1,2,2,Lean,LB,23,70,137,43,45,47,44,43,47,46,50,49,50,48,34,47,38,29,53,35,28,36,46,61,57,61,54,63,32,59,54,41,29,51,49,48,36,39,37,46,53,55
17814,234896,B.Bytyqi,21,Albania,52,63,AalborgBK,1,Left,1,3,2,Normal,LB,33,71,154,46,45,47,43,41,46,45,50,49,50,48,38,43,32,21,49,39,29,28,47,64,69,66,53,68,44,66,61,58,36,48,46,47,32,36,48,51,52,49
17829,238766,J.Riquelme,18,Chile,52,72,CDHuachipato,1,Left,1,2,2,Lean,LB,36,71,159,40,41,43,40,40,44,45,50,49,50,50,27,44,43,34,46,29,37,27,35,66,54,58,55,64,33,60,66,59,25,46,51,41,36,37,32,47,49,51
17875,239086,D.Th’Ùgersen,18,Denmark,52,66,AarhusGF,1,Left,1,3,2,Lean,LB,33,72,165,40,43,46,43,41,46,44,49,45,50,46,26,37,39,29,40,25,28,30,46,73,75,77,47,65,28,65,58,33,25,46,47,52,36,39,52,45,50,50
17912,246318,T.Stevenson,19,England,51,69,CharltonAthletic,1,Left,1,3,2,Lean,LB,43,71,161,43,45,48,44,43,49,46,50,47,50,53,45,24,40,19,50,30,26,38,50,68,58,54,41,66,35,64,61,52,21,48,46,49,39,37,35,50,53,51
17946,244862,C.Royo,17,Germany,51,68,SVDarmstadt98,1,Left,1,2,2,Lean,LB,39,67,130,39,46,51,48,45,50,47,51,45,49,58,27,29,60,23,64,42,29,28,59,70,39,80,59,80,25,57,31,30,25,39,49,32,32,28,42,45,52,47
17948,245126,M.Grabowski,18,Poland,51,63,WisÅäaKrak’_w,1,Left,1,2,2,Normal,LB,21,69,143,40,41,42,39,38,42,44,48,50,49,33,29,44,30,28,58,32,32,25,32,65,62,51,47,76,30,58,58,41,31,56,53,44,32,39,39,48,62,55
17962,239004,D.Mehmedovic,20,Austria,51,65,SKNSt.P’_lten,2,Left,1,2,2,Normal,LB,28,67,143,41,42,44,40,38,43,45,48,52,49,39,31,44,30,29,59,28,28,30,30,67,65,69,56,86,31,73,42,57,23,56,52,41,36,35,37,56,57,54
17974,243119,A.McGovern,19,RepublicofIreland,51,65,BrayWanderers,1,Left,1,2,2,Lean,LB,23,72,176,41,40,41,39,39,42,44,48,49,49,39,29,51,34,23,41,37,31,38,38,67,69,57,42,55,34,55,66,69,31,38,48,41,31,21,37,45,51,52
17982,235710,A.AlYousif,21,SaudiArabia,51,60,AlFateh,3,Left,1,3,2,Lean,LB,23,73,163,44,45,45,46,48,46,51,49,52,50,35,35,52,53,31,43,37,40,48,55,54,55,51,48,44,42,47,52,62,37,58,51,35,46,42,42,45,54,51
17997,231396,C.Kelly,19,RepublicofIreland,51,63,St.Patrick'sAthletic,1,Right,1,2,2,Lean,LB,32,73,159,41,41,42,42,44,44,48,49,49,50,41,29,55,54,22,45,32,26,52,45,57,59,58,44,53,46,63,62,51,28,39,42,24,34,31,46,51,53,50
17999,245477,J.Pawlik,18,Poland,51,68,ZagÅäóÈbieSosnowiec,1,Left,1,2,2,Lean,LB,5,69,154,39,40,42,38,37,42,43,48,49,49,36,29,41,24,26,55,30,28,28,29,66,62,56,56,75,22,63,56,47,27,52,52,44,35,41,40,46,61,55
18041,238932,G.Arndal-Lauritzen,20,Denmark,50,64,Br’ÙndbyIF,2,Left,1,3,2,Normal,LB,25,74,179,40,42,43,42,43,45,47,48,49,49,40,21,43,44,28,48,34,33,38,40,62,53,57,54,56,27,63,63,66,29,51,49,48,35,37,37,45,51,47
18055,235910,M.Mansour,26,SaudiArabia,50,52,AlBatin,2,Left,1,3,2,Lean,LB,55,69,137,35,34,34,34,38,37,46,47,51,49,36,18,46,42,29,23,26,21,28,41,52,54,43,51,69,37,72,65,68,22,49,48,22,34,33,37,45,54,54
18060,242063,T.Miyamoto,19,Japan,50,66,KashiwaReysol,1,Left,1,3,2,Lean,LB,24,67,143,44,46,48,43,40,47,42,49,46,49,45,24,39,31,26,60,24,25,23,44,71,72,70,48,75,52,55,60,51,48,48,49,51,31,39,49,44,48,45
18061,246162,R.Hurley,18,RepublicofIreland,50,61,CorkCity,1,Left,1,2,2,Normal,LB,30,70,143,39,40,42,41,42,44,46,48,47,49,41,22,47,49,31,43,43,40,42,35,63,62,60,48,58,36,56,57,43,25,44,48,42,39,43,42,50,51,48
18064,243348,L.Klitten,18,Denmark,50,65,AalborgBK,1,Right,1,3,2,Normal,LB,20,72,154,40,42,45,42,40,44,44,48,48,48,46,25,40,44,23,51,31,32,28,37,65,64,73,49,64,29,65,43,49,28,56,50,46,33,32,35,40,52,54
18078,246194,B.Horton,17,England,50,67,DoncasterRovers,1,Left,1,2,2,Normal,LB,35,70,165,38,40,41,38,37,41,43,47,48,48,31,23,41,20,24,53,30,51,26,39,68,61,53,52,40,28,59,61,48,22,52,51,41,37,32,33,49,54,53
18080,245684,J.Mortensen,17,Denmark,50,71,EsbjergfB,1,Right,1,3,2,Normal,LB,2,71,146,38,41,43,41,41,45,44,48,46,48,47,23,41,39,29,49,32,30,37,42,63,57,60,48,65,20,55,60,44,23,51,48,49,30,36,35,39,53,47
18086,244924,J.Sheridan,18,England,50,65,OldhamAthletic,1,Left,1,2,2,Lean,LB,33,72,159,37,40,42,41,41,44,45,48,47,48,42,21,36,40,23,46,29,31,39,31,64,64,66,53,64,21,63,61,52,28,51,52,46,39,37,38,44,51,46
18153,246270,M.Dyrmose,17,Denmark,49,69,S’ÙnderjyskE,1,Left,1,3,2,Lean,LB,26,69,154,36,39,41,38,37,42,42,47,46,48,39,20,38,27,20,49,32,30,23,45,63,59,58,47,75,21,64,62,47,21,53,52,40,33,35,35,41,48,52
18175,243649,E.Clarke,19,England,48,59,FleetwoodTown,1,Left,1,2,2,Lean,LB,3,68,154,37,38,40,37,36,41,41,46,46,46,40,25,38,29,21,48,34,32,21,31,66,55,49,46,42,26,62,62,52,26,54,45,43,38,39,30,45,52,49
18191,245570,J.Norville-Williams,18,England,47,65,CambridgeUnited,1,Left,1,3,2,Lean,LB,24,71,168,39,40,43,41,40,43,44,45,47,45,47,26,39,39,27,45,29,21,41,41,61,52,55,45,59,26,61,38,55,25,55,55,47,39,29,36,45,42,46
24,138956,G.Chiellini,33,Italy,89,89,Juventus,215,Left,4,3,2,Normal,LCB,3,74,187,58,55,54,54,60,56,76,74,86,77,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90
34,178603,M.Hummels,29,Germany,88,88,FCBayernM’_nchen,160,Right,4,3,3,Normal,LCB,5,75,203,69,69,68,71,77,70,83,78,85,80,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88
44,201024,K.Koulibaly,27,Senegal,87,90,Napoli,115,Right,3,3,2,Normal,LCB,26,74,196,52,52,51,52,58,55,75,71,84,75,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86
51,172871,J.Vertonghen,31,Belgium,87,87,TottenhamHotspur,155,Left,3,3,3,Normal,LCB,5,74,190,69,69,68,70,74,70,81,79,84,80,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88
59,203376,V.vanDijk,26,Netherlands,86,88,Liverpool,165,Right,3,3,2,Normal,LCB,4,76,203,68,66,65,67,71,67,80,76,85,78,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84
77,232363,M.Å_kriniar,23,Slovakia,85,92,Inter,82,Right,1,4,2,Normal,LCB,37,74,176,57,57,56,58,65,60,78,73,83,76,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82
88,192774,K.Manolas,27,Greece,85,87,Roma,96,Right,3,2,2,Normal,LCB,4,74,183,49,48,49,49,56,53,74,72,83,76,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89
113,212218,A.Laporte,24,France,84,88,ManchesterCity,135,Left,2,3,2,Normal,LCB,14,74,187,64,63,61,63,70,64,79,75,82,77,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,44,77,85,86,87
158,230375,Josu’©Chiamulera,26,Brazil,83,83,Gr’émio,43,Right,1,3,2,Normal,LCB,4,73,176,59,59,59,59,64,61,76,74,81,77,40,38,83,74,44,56,45,49,61,70,83,78,77,85,68,53,69,76,73,41,88,84,38,42,56,71,85,87,82
160,225850,P.Kimpembe,22,France,83,89,ParisSaint-Germain,82,Left,2,3,3,Normal,LCB,3,74,176,59,60,62,64,69,66,79,77,81,78,62,31,79,79,33,58,50,32,75,78,75,78,74,79,65,55,77,80,84,39,85,83,39,60,50,80,80,83,83
207,185221,LuizGustavo,30,Brazil,83,83,OlympiquedeMarseille,63,Left,3,3,3,Lean,LCB,19,74,172,66,67,66,69,74,68,80,77,81,78,63,48,72,79,54,68,42,60,77,73,65,64,65,83,62,80,76,85,81,73,88,83,53,69,58,79,82,84,86
209,179944,DavidLuiz,31,Brazil,83,83,Chelsea,130,Right,4,3,3,Normal,LCB,30,74,190,68,67,67,69,73,68,78,74,80,75,68,55,81,77,63,66,70,76,77,79,59,62,69,75,56,79,78,66,79,73,85,85,54,69,75,77,79,83,82
239,220440,C.Lenglet,23,France,82,88,FCBarcelona,135,Left,1,4,2,Lean,LCB,15,73,179,57,60,58,62,68,62,77,72,80,75,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81
248,210413,A.Romagnoli,23,Italy,82,89,Milan,84,Left,2,3,2,Normal,LCB,13,74,172,56,56,55,57,63,58,76,71,81,74,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81
259,203263,H.Maguire,25,England,82,85,LeicesterCity,77,Right,1,3,2,Stocky,LCB,6,76,220,64,64,60,65,70,63,77,70,81,71,44,43,87,77,41,70,38,46,72,76,39,53,52,79,58,68,74,68,89,45,84,78,60,60,44,79,81,84,81
264,201305,GabrielPaulista,27,Brazil,82,83,ValenciaCF,44,Right,2,2,2,Lean,LCB,5,74,174,62,62,63,64,68,66,77,75,81,77,67,42,81,74,48,60,57,46,69,69,71,74,69,80,67,61,83,72,82,50,82,82,51,65,51,71,82,83,83
277,193469,V’_ctorRuiz,29,Spain,82,83,VillarrealCF,43,Left,2,2,2,Normal,LCB,6,73,172,57,57,56,59,66,59,77,72,81,74,54,37,77,74,39,53,67,46,70,71,55,59,56,78,58,59,78,72,87,38,82,83,39,56,46,72,81,84,85
301,181786,V.óæorluka,32,Croatia,82,82,LokomotivMoscow,1,Right,3,3,3,Normal,LCB,14,76,185,61,61,61,62,68,64,76,74,79,75,68,44,83,70,38,65,69,60,72,73,49,65,57,77,46,64,81,80,86,50,81,77,45,60,49,78,79,83,82
303,179847,F.Fazio,31,Argentina,82,82,Roma,73,Right,3,2,2,Normal,LCB,20,77,187,56,53,50,52,61,54,76,69,81,71,44,41,89,64,35,48,46,37,62,72,36,43,29,84,32,63,41,74,91,26,84,85,32,47,26,86,85,85,78
308,168530,Jardel,32,Brazil,82,82,SLBenfica,17,Right,2,2,2,Normal,LCB,33,76,192,55,53,51,53,59,54,73,69,81,71,46,38,85,68,27,52,30,35,53,60,50,63,35,77,34,58,77,68,89,37,83,82,30,49,57,71,85,84,78
322,229237,M.Akanji,22,Switzerland,81,87,BorussiaDortmund,49,Right,2,3,2,Normal,LCB,5,74,187,60,62,63,65,70,66,78,75,80,76,51,36,75,78,40,67,42,27,76,75,72,86,69,81,66,58,78,76,84,45,75,79,33,66,40,76,82,84,80
336,213661,A.Christensen,22,Denmark,81,88,Chelsea,91,Right,2,3,2,Lean,LCB,6,74,179,55,58,59,62,68,63,77,73,79,75,49,36,80,77,25,68,32,22,72,74,66,70,61,80,61,31,72,69,73,20,73,82,32,62,36,77,80,86,84
349,205362,M.Nastasióö,25,Serbia,81,84,FCSchalke04,36,Left,2,2,2,Normal,LCB,5,74,183,52,52,53,55,62,56,74,70,79,74,46,30,78,73,32,43,72,68,69,65,65,77,65,80,59,44,81,62,78,22,78,78,30,55,52,80,83,83,87
388,177458,S.Bender,29,Germany,81,81,Bayer04Leverkusen,69,Right,2,4,2,Lean,LCB,5,73,176,61,61,59,62,68,61,77,73,80,75,43,39,75,74,54,58,33,30,69,60,65,72,63,78,61,73,73,83,77,62,82,82,49,65,34,81,83,86,88
410,112316,J.Mathieu,34,France,81,81,SportingCP,18,Left,3,2,2,Normal,LCB,22,74,185,67,65,65,64,69,67,76,76,80,77,79,52,80,73,61,65,82,75,77,62,68,74,52,74,43,80,65,78,89,74,72,82,58,58,72,76,86,84,82
471,201377,J.Murillo,26,Colombia,80,84,ValenciaCF,38,Right,2,2,2,Normal,LCB,22,72,172,58,57,58,58,61,61,73,72,78,74,56,37,76,68,54,58,38,26,62,64,75,76,77,73,72,68,89,72,80,13,88,81,45,54,46,73,77,80,82
478,199206,D.Vida,29,Croatia,80,80,BeÅ™iktaÅ™JK,55,Right,3,3,2,Lean,LCB,24,72,168,57,56,58,56,61,61,73,74,79,76,65,41,79,66,36,53,44,35,60,66,70,80,64,75,63,54,79,76,77,22,83,81,43,50,51,75,85,79,83
484,195861,Y.Rakitskyi,28,Ukraine,80,80,ShakhtarDonetsk,1,Left,2,3,3,Normal,LCB,44,73,183,69,69,69,71,75,70,79,76,79,77,68,57,69,78,53,69,75,77,84,73,69,72,68,76,73,87,74,82,84,86,84,82,53,75,50,78,78,83,81
527,173208,D.Criscito,31,Italy,80,80,Genoa,21,Left,2,3,3,Normal,LCB,4,72,165,68,71,72,72,76,75,79,80,78,80,82,56,69,80,62,72,72,66,81,73,78,77,68,78,65,68,80,89,73,59,79,77,68,75,70,75,84,82,83
532,166706,M.Å_krtel,33,Slovakia,80,80,Fenerbah’_eSK,68,Right,3,2,2,Normal,LCB,37,75,179,52,48,48,49,57,51,71,66,78,69,39,35,83,68,43,46,33,27,67,57,49,62,49,72,52,46,73,76,86,35,82,79,33,28,39,71,77,82,78
533,165109,S.Radu,31,Romania,80,80,Lazio,51,Left,2,3,3,Normal,LCB,26,72,174,66,66,66,66,69,66,76,75,79,77,67,55,70,71,51,66,45,48,67,69,70,68,70,78,67,79,65,69,74,74,75,85,55,60,57,76,86,86,85
538,156713,A.Granqvist,33,Sweden,80,80,,0,Right,2,4,2,Normal,LCB,4,76,185,62,58,56,58,64,57,74,68,79,70,49,51,81,73,37,49,36,40,67,63,46,49,55,76,36,74,64,67,83,59,81,82,54,49,79,78,82,83,79
550,121944,B.Schweinsteiger,33,Germany,80,80,ChicagoFire,11,Right,4,3,3,Normal,LCB,31,72,174,71,72,70,74,78,70,77,71,75,71,76,69,75,82,79,71,82,74,83,78,36,37,61,81,63,81,71,67,75,77,77,77,73,81,77,87,76,74,75
576,225711,A.Diallo,22,France,79,86,BorussiaDortmund,43,Left,2,3,3,Lean,LCB,4,73,174,61,64,66,67,71,70,76,75,77,76,66,38,81,76,39,73,46,32,78,76,75,77,75,78,69,43,84,76,78,24,76,77,56,68,41,81,75,80,78
616,204525,I’±igoMart’_nez,27,Spain,79,80,AthleticClubdeBilbao,26,Left,2,2,2,Normal,LCB,4,72,170,62,61,59,61,66,61,75,71,78,73,51,42,73,71,37,53,72,51,81,68,71,74,67,75,64,81,90,71,78,74,84,81,48,46,39,69,75,80,83
619,204082,J.Brooks,25,UnitedStates,79,84,VfLWolfsburg,44,Left,2,3,2,Normal,LCB,6,76,172,58,58,57,60,64,60,73,68,77,70,36,39,82,73,32,65,30,28,72,64,66,76,57,73,51,50,72,61,84,29,75,77,40,57,45,81,79,81,76
668,189682,B.Mee,28,England,79,79,Burnley,58,Left,1,3,2,Normal,LCB,6,72,181,55,56,57,57,62,60,72,71,78,72,63,30,79,63,29,63,45,31,61,65,62,63,63,75,70,60,93,70,82,39,82,79,38,60,36,74,79,81,80
692,182002,Sidnei,28,Brazil,79,80,RealBetis,27,Right,2,2,2,Stocky,LCB,12,74,194,61,59,59,59,64,61,74,71,77,72,58,46,75,70,33,59,36,39,68,76,65,63,36,75,38,61,79,68,90,50,77,80,44,44,58,71,75,81,75
727,240130,’_derMilit’£o,20,Brazil,78,87,FCPorto,10,Right,1,2,2,Lean,LCB,3,73,174,63,64,66,64,66,68,73,75,77,76,72,48,75,67,34,68,58,40,58,70,77,78,75,76,67,62,86,85,76,42,83,74,59,59,60,68,76,82,78
767,220523,Y.Mina,23,Colombia,78,85,Everton,68,Right,1,2,2,Normal,LCB,13,77,207,61,58,55,57,61,57,70,67,77,69,43,51,86,73,41,60,38,30,52,53,45,62,53,72,34,70,70,79,87,50,80,73,48,54,53,80,79,79,75
780,215792,Jemerson,25,Brazil,78,81,ASMonaco,55,Right,2,2,2,Lean,LCB,5,72,170,52,52,51,54,59,54,71,67,77,70,30,28,78,68,46,54,26,26,60,63,70,65,64,81,58,45,83,67,78,35,75,79,26,46,54,75,80,80,77
831,203485,T.Kongolo,24,Netherlands,78,83,HuddersfieldTown,39,Left,2,4,3,Lean,LCB,5,74,154,59,60,61,61,65,64,72,73,76,74,67,27,74,72,40,67,63,44,65,72,72,74,71,70,62,67,91,71,79,52,75,76,49,49,42,73,77,80,79
842,199915,L.Dunk,26,England,78,81,Brighton&HoveAlbion,46,Right,1,4,2,Normal,LCB,5,76,194,55,54,50,54,62,54,73,65,76,67,32,37,76,71,24,60,23,39,74,68,38,50,47,79,42,72,72,64,82,21,80,78,30,45,36,72,80,76,78
845,199577,SergiG’_mez,26,Spain,78,83,SevillaFC,17,Right,1,2,2,Normal,LCB,3,73,170,56,58,56,61,69,60,76,69,77,70,45,35,74,80,37,56,49,46,77,75,46,44,52,76,50,45,69,68,78,47,70,81,52,56,41,68,80,81,78
878,182495,M.C’çceres,31,Uruguay,78,78,Lazio,44,Right,2,3,2,Lean,LCB,22,71,172,61,61,62,62,64,63,72,73,76,74,69,37,76,67,65,60,68,41,65,66,76,78,79,73,74,70,91,69,72,59,78,80,50,58,50,76,80,78,77
905,146701,Iv’çnRamis,33,Spain,77,77,SDEibar,22,Right,2,3,2,Stocky,LCB,4,74,181,62,58,54,58,65,56,73,64,76,66,45,54,76,71,59,51,67,77,72,70,34,35,52,69,50,76,76,67,90,65,84,77,52,50,65,66,75,78,73
913,146963,J.Pinola,35,Argentina,77,77,RiverPlate,16,Left,2,3,2,Normal,LCB,22,71,174,62,62,62,63,66,64,72,70,75,71,65,38,74,76,46,63,65,55,68,65,68,70,65,75,67,71,81,67,81,59,82,74,59,58,38,60,79,74,72
1035,206198,D.Heintz,24,Germany,77,79,SCFreiburg,20,Left,2,3,2,Stocky,LCB,23,74,196,52,54,54,57,64,57,73,69,76,71,51,23,77,72,26,58,55,32,70,63,55,68,53,76,49,49,67,69,83,56,70,75,26,61,41,69,76,81,77
1110,229558,D.Upamecano,19,France,77,88,RBLeipzig,18,Right,1,3,2,Stocky,LCB,5,73,183,55,56,57,58,62,60,71,68,76,70,47,39,71,72,21,59,32,28,66,64,73,85,61,67,62,44,86,61,88,24,81,75,35,56,39,68,68,84,75
1131,201922,M.Hinteregger,25,Austria,77,80,FCAugsburg,23,Left,2,3,2,Stocky,LCB,4,72,183,64,62,60,62,67,62,73,68,76,70,53,48,77,63,49,55,58,63,81,62,63,73,62,68,62,83,85,72,83,71,82,76,61,65,64,65,77,78,77
1145,192715,Juanpe,27,Spain,77,78,GironaFC,27,Right,1,3,2,Normal,LCB,15,75,187,52,52,49,54,62,53,72,66,75,68,35,35,81,79,13,38,28,35,60,70,41,63,32,72,33,48,70,71,78,27,79,75,32,54,37,65,65,81,78
1152,231633,I.Diop,21,France,77,86,WestHamUnited,46,Right,2,3,2,Lean,LCB,23,76,203,52,50,49,50,56,52,69,66,75,69,37,30,74,64,48,43,32,34,59,60,64,68,46,68,48,50,73,69,83,31,77,78,38,40,44,72,76,78,80
1167,199393,N.Pallois,30,France,77,77,FCNantes,25,Left,2,2,2,Normal,LCB,4,74,196,55,53,54,55,61,56,72,68,76,69,61,41,68,68,45,57,36,41,68,60,49,63,54,69,34,75,76,67,90,57,86,77,22,52,45,73,77,79,75
1180,199667,R.FunesMori,27,Argentina,77,78,VillarrealCF,28,Left,2,3,2,Normal,LCB,13,73,174,60,61,61,61,65,62,71,70,75,71,66,40,79,70,25,63,49,58,62,70,61,68,65,69,61,69,77,67,78,56,83,76,49,59,52,64,75,77,74
1193,202750,W.Boly,27,France,77,80,WolverhamptonWanderers,58,Right,1,4,2,Normal,LCB,15,77,214,54,52,52,54,58,55,70,66,76,68,50,32,75,70,23,48,43,35,58,60,57,69,55,71,45,52,62,58,93,21,79,76,43,52,56,76,72,78,78
1203,201988,F.Fern’çndez,29,Argentina,76,76,NewcastleUnited,42,Right,2,2,2,Normal,LCB,18,75,183,47,47,45,50,57,49,70,62,75,65,23,26,77,68,21,39,49,40,58,65,47,50,48,71,48,27,76,65,78,29,79,76,36,44,42,71,76,78,77
1229,220182,J.Denayer,23,Belgium,76,83,OlympiqueLyonnais,41,Right,1,3,2,Normal,LCB,5,72,176,57,58,60,60,63,62,71,70,74,71,58,42,73,72,35,67,35,29,66,69,69,71,66,73,62,51,76,69,79,36,71,76,36,51,39,76,74,77,75
1252,229668,MarioHermoso,23,Spain,76,84,RCDEspanyol,21,Left,1,4,2,Lean,LCB,22,72,163,60,61,63,61,64,66,71,74,75,75,71,29,72,67,37,61,65,55,63,72,78,88,78,70,71,61,86,77,77,32,76,76,64,52,45,68,72,79,78
1263,226601,VitorHugo,27,Brazil,76,78,Fiorentina,45,Left,1,2,2,Lean,LCB,31,74,176,48,43,42,41,45,44,62,61,74,66,32,26,82,41,33,39,33,34,37,49,66,69,43,73,47,49,79,60,78,22,80,76,27,33,49,70,75,78,80
1272,244269,F.Benkovióö,20,Croatia,76,85,Celtic,37,Right,1,3,2,Normal,LCB,32,76,201,50,50,48,51,57,52,69,64,74,66,28,25,76,64,19,50,18,26,60,58,61,66,50,70,44,48,76,73,86,22,82,75,34,49,42,70,73,75,75
1286,198198,JordiAmat,26,Spain,76,80,RayoVallecano,18,Right,2,3,2,Normal,LCB,16,73,183,56,55,53,56,60,54,69,65,74,67,31,34,74,68,28,50,40,36,52,65,61,69,59,70,57,75,78,66,79,65,82,71,30,59,28,69,76,76,79
1318,185163,L.Rossettini,33,Italy,76,76,ChievoVerona,16,Right,2,3,2,Normal,LCB,15,74,181,52,49,47,48,53,48,66,62,75,66,35,29,76,58,34,50,42,36,58,54,59,55,58,70,50,65,78,59,81,60,76,76,32,28,45,74,80,78,77
1323,193869,Gil,31,Brazil,76,76,ShandongLunengTaiShanFC,18,Right,2,3,2,Normal,LCB,4,76,192,55,55,52,56,63,57,72,67,75,68,47,28,76,66,23,51,39,34,67,60,55,49,40,75,36,69,63,82,89,41,81,78,50,64,42,71,74,75,74
1356,201315,Pablo,27,Brazil,76,77,FCGirondinsdeBordeaux,34,Right,1,2,2,Normal,LCB,25,74,190,58,55,53,54,57,53,68,64,75,66,30,49,75,57,52,56,44,50,51,59,54,65,69,75,54,68,72,68,81,43,81,78,40,49,57,66,77,78,72
1359,176483,D.Chygrynskyi,31,Ukraine,76,76,AEKAthens,1,Right,2,3,2,Normal,LCB,19,74,187,51,49,47,52,60,51,71,63,74,66,40,32,76,69,32,35,43,48,72,58,48,52,40,68,42,53,55,66,87,42,76,74,36,59,38,67,75,80,75
1388,215162,A.Donatti,31,Argentina,76,76,RacingClub,19,Right,1,4,2,Lean,LCB,2,76,190,63,58,54,56,61,55,69,64,75,66,38,53,86,70,36,50,68,76,68,62,49,54,52,71,34,80,86,69,85,67,76,72,55,35,48,56,75,75,71
1390,219258,PedroHenrique,25,Brazil,76,81,Vit’_riaGuimar’£es,10,Left,1,2,2,Normal,LCB,2,75,194,53,51,48,50,56,50,69,64,74,66,29,35,71,67,23,54,29,35,42,63,48,47,42,73,33,68,37,76,90,37,81,78,32,35,43,75,75,79,73
1395,184190,R.Thomas,30,France,76,76,AngersSCO,21,Left,2,3,2,Lean,LCB,24,76,185,49,46,45,48,56,49,70,63,74,66,42,22,75,69,18,31,39,34,68,67,51,53,52,69,50,64,67,55,82,28,72,78,28,37,55,73,77,76,74
